,RD_KIT_Desc,Synthesis_Metric,P_Value
295,FpDensityMorgan2,hydrophbic_section,0.018437565069216424
296,EState_VSA4,kur,0.018242877278464954
297,NumHAcceptors,hydrophbic_section,0.018203847606156648
298,SMR_VSA1,Solvent,0.01820290819822095
299,SlogP_VSA1,Full_molecule,0.018184669636967566
300,SMR_VSA6,Full_molecule,0.017983902911606058
301,NumHAcceptors,hydrophilic_section,0.017923448569118434
302,VSA_EState3,ssk,0.017852652307243623
303,Chi3v,ssk,0.017823013287990352
304,SMR_VSA6,hydrophbic_section,0.01773817557696256
305,VSA_EState1,Full_molecule,0.0176834558253949
306,SMR_VSA6,hydrophilic_section,0.017679052541533753
307,Chi1,Std_dev_(mps),0.017648409493753296
308,MinEStateIndex,Full_molecule,0.01756292284903353
309,SMR_VSA5,ssk,0.01753868255299956
310,SMR_VSA5,Solvent,0.017322039636304132
311,VSA_EState1,hydrophbic_section,0.017262553725840433
312,SMR_VSA6,Polar_dispersity,0.017177252873314872
313,NumHeteroatoms,Solvent,0.017176621439181586
314,VSA_EState1,hydrophilic_section,0.01716244439670214
315,VSA_EState3,Solvent,0.017135387220856953
316,SMR_VSA6,Area_Sphere_Substance,0.017026576990528786
317,BalabanJ,Solvent,0.017015823394881398
318,SlogP_VSA3,Std_dev_(mps),0.016965971387616224
319,SlogP_VSA1,hydrophbic_section,0.016856768413811077
320,EState_VSA8,mean_particle_size_(mps),0.016671904584592306
321,VSA_EState2,Std_dev_(mps),0.01666477046278738
322,MolWt,hydrophilic,0.01665306329684035
323,ExactMolWt,hydrophilic,0.01660903199012284
324,SlogP_VSA1,hydrophilic_section,0.01655876001549714
325,SMR_VSA5,Avg_roundness,0.016472906721444427
326,HeavyAtomMolWt,Comp,0.016420894296956
327,SMR_VSA6,Conc of comp,0.01640696604694011
328,SMR_VSA1,Avg_roundness,0.016394774048299515
329,FpDensityMorgan2,hydrophilic_section,0.016360329017734147
330,SMR_VSA5,Avg_area,0.016352891393169443
331,SMR_VSA1,Avg_area,0.016344134807599678
332,VSA_EState1,Polar_dispersity,0.016321175647865303
333,NOCount,T of comp,0.016156390558419994
334,NOCount,T of solv,0.016156390558419994
335,VSA_EState1,Area_Sphere_Substance,0.016070559763078276
336,SMR_VSA5,Full_molecule,0.01599198858421225
337,SMR_VSA10,mean_particle_size_(mps),0.01597480414196946
338,EState_VSA3,Std_dev_(mps),0.015964905256200982
339,SMR_VSA6,mean_particle_size_(mps),0.015931664031381222
340,SMR_VSA5,hydrophbic_section,0.01582480062591281
341,SMR_VSA5,hydrophilic_section,0.01578443418932073
342,NumHAcceptors,Polar_dispersity,0.01565713672501776
343,SMR_VSA5,Polar_dispersity,0.015440754100901934
344,SMR_VSA1,Full_molecule,0.015423019789657611
345,SMR_VSA5,Area_Sphere_Substance,0.015337291663365555
346,PEOE_VSA8,Std_dev_(mps),0.015332374184672268
347,EState_VSA10,Std_dev_(mps),0.015315814718532567
348,SMR_VSA10,sq,0.015243905684686379
349,HeavyAtomMolWt,hydrophilic,0.015158687519867245
350,SMR_VSA1,hydrophbic_section,0.015092231193646803
351,fr_aryl_methyl,Full_molecule,0.015065677340808267
352,VSA_EState1,Conc of comp,0.015057172193966024
353,SMR_VSA1,hydrophilic_section,0.015013366521251062
354,fr_ether,Conc of comp,0.015010781512149452
355,VSA_EState3,Avg_area,0.01500750392058137
356,NumHAcceptors,Area_Sphere_Substance,0.015003110083852755
357,VSA_EState3,Avg_roundness,0.014915600908324455
358,SMR_VSA5,Conc of comp,0.014909609143938178
359,HallKierAlpha,Conc of comp,0.014871871921887643
360,MaxAbsPartialCharge,hydrophilic_section,0.014842556479842563
361,Chi1v,Std_dev_(mps),0.014819528843420126
362,RingCount,Avg_roundness,0.014784099681124777
363,HeavyAtomCount,mean_particle_size_(mps),0.014773818181363864
364,SlogP_VSA4,Std_dev_(mps),0.014713711027250446
365,SPS,Std_dev_(mps),0.014708392647476653
366,EState_VSA1,Std_dev_(mps),0.014688574964049182
367,Chi3v,Solvent,0.014475148577675654
368,SlogP_VSA2,ssk,0.014424650741124834
369,ExactMolWt,Comp,0.014403653286819045
370,SlogP_VSA12,mean_particle_size_(mps),0.01438979643761338
371,SMR_VSA1,Polar_dispersity,0.014349105451418558
372,VSA_EState10,Solvent,0.01425193659660714
373,MolWt,Comp,0.014230914955443532
374,SlogP_VSA2,Solvent,0.014219018520188824
375,SlogP_VSA1,Polar_dispersity,0.014172479508028994
376,NumHeteroatoms,Avg_area,0.014157900286131052
377,SMR_VSA1,Area_Sphere_Substance,0.01415082374882559
378,SMR_VSA9,Std_dev_(mps),0.01409931808070995
379,SlogP_VSA11,Std_dev_(mps),0.01409931808070995
380,SMR_VSA9,ssk,0.01391698283630296
381,SlogP_VSA11,ssk,0.01391698283630296
382,PEOE_VSA9,ssk,0.013857481527828692
383,Chi2v,Std_dev_(mps),0.01376991342480227
384,SlogP_VSA5,mean_particle_size_(mps),0.013762529185495358
385,VSA_EState3,Full_molecule,0.013761609871179968
386,Kappa2,Std_dev_(mps),0.013742033409491702
387,PEOE_VSA9,Solvent,0.013685317892197011
388,PEOE_VSA2,Std_dev_(mps),0.013552280131912259
389,SlogP_VSA1,Area_Sphere_Substance,0.013488882486195184
390,SlogP_VSA2,Avg_roundness,0.013432100044904553
391,BCUT2D_MWHI,mean_particle_size_(mps),0.013382602532417943
392,VSA_EState3,hydrophbic_section,0.013373932737561493
393,Chi1n,Std_dev_(mps),0.013368410508317117
394,SMR_VSA1,Conc of comp,0.01334600611888228
395,SlogP_VSA2,Avg_area,0.013335401904764793
396,SlogP_VSA1,T of solv,0.013319081170848138
397,SlogP_VSA1,T of comp,0.013319081170848138
398,PEOE_VSA1,ssk,0.013301773447505579
399,VSA_EState3,hydrophilic_section,0.01328225253693733
400,EState_VSA4,mean_particle_size_(mps),0.01326901807429632
401,BCUT2D_MWLOW,Std_dev_(mps),0.013146340575290764
402,Chi4n,Full_molecule,0.01305148813605378
403,PEOE_VSA9,Avg_roundness,0.013013830760921552
404,SlogP_VSA2,Full_molecule,0.012989569005645327
405,PEOE_VSA7,mean_particle_size_(mps),0.012959624982531105
406,PEOE_VSA9,Avg_area,0.012921715427742477
407,BCUT2D_MWHI,sq,0.012860953321915638
408,NumHeteroatoms,Std_dev_(mps),0.012840656393683208
409,HallKierAlpha,sq,0.012837219763191611
410,SlogP_VSA2,hydrophbic_section,0.012836143418787077
411,SlogP_VSA2,hydrophilic_section,0.012799165894459081
412,EState_VSA5,mean_particle_size_(mps),0.012783903084215778
413,VSA_EState10,Avg_area,0.012760711771749741
414,Kappa1,mean_particle_size_(mps),0.012754525530332938
